layer_name,layer_type,param_count,output_shape
frontend,Sequential,7635264,
frontend.0,Conv2d,1792,"(1, 64, 512, 512)"
frontend.1,ReLU,0,"(1, 64, 512, 512)"
frontend.2,Conv2d,36928,"(1, 64, 512, 512)"
frontend.3,ReLU,0,"(1, 64, 512, 512)"
frontend.4,MaxPool2d,0,"(1, 64, 256, 256)"
frontend.5,Conv2d,73856,"(1, 128, 256, 256)"
frontend.6,ReLU,0,"(1, 128, 256, 256)"
frontend.7,Conv2d,147584,"(1, 128, 256, 256)"
frontend.8,ReLU,0,"(1, 128, 256, 256)"
frontend.9,MaxPool2d,0,"(1, 128, 128, 128)"
frontend.10,Conv2d,295168,"(1, 256, 128, 128)"
frontend.11,ReLU,0,"(1, 256, 128, 128)"
frontend.12,Conv2d,590080,"(1, 256, 128, 128)"
frontend.13,ReLU,0,"(1, 256, 128, 128)"
frontend.14,Conv2d,590080,"(1, 256, 128, 128)"
frontend.15,ReLU,0,"(1, 256, 128, 128)"
frontend.16,MaxPool2d,0,"(1, 256, 64, 64)"
frontend.17,Conv2d,1180160,"(1, 512, 64, 64)"
frontend.18,ReLU,0,"(1, 512, 64, 64)"
frontend.19,Conv2d,2359808,"(1, 512, 64, 64)"
frontend.20,ReLU,0,"(1, 512, 64, 64)"
frontend.21,Conv2d,2359808,"(1, 512, 64, 64)"
frontend.22,ReLU,0,"(1, 512, 64, 64)"
backend,Sequential,8628160,
backend.0,Conv2d,2359808,"(1, 512, 64, 64)"
backend.1,ReLU,0,"(1, 512, 64, 64)"
backend.2,Conv2d,2359808,"(1, 512, 64, 64)"
backend.3,ReLU,0,"(1, 512, 64, 64)"
backend.4,Conv2d,2359808,"(1, 512, 64, 64)"
backend.5,ReLU,0,"(1, 512, 64, 64)"
backend.6,Conv2d,1179904,"(1, 256, 64, 64)"
backend.7,ReLU,0,"(1, 256, 64, 64)"
backend.8,Conv2d,295040,"(1, 128, 64, 64)"
backend.9,ReLU,0,"(1, 128, 64, 64)"
backend.10,Conv2d,73792,"(1, 64, 64, 64)"
backend.11,ReLU,0,"(1, 64, 64, 64)"
output_layer,Conv2d,65,"(1, 1, 64, 64)"
