Epoch,Train Loss,Val MAE
1,376.7581234741211,172.49783103020636
2,305.2834171549479,171.3125027012039
3,281.19984375,168.50326746636694
4,247.30644810994465,169.67266510345124
5,230.14099212646485,224.49973125248164
6,230.3514429219564,153.23124497801393
7,214.2677676900228,159.88377996329422
8,207.12596542358398,347.0578953250424
9,190.75532775878906,161.0459440435682
10,189.29813852945964,209.63749889751057
11,183.1741144816081,146.0208109656533
12,181.4256473795573,140.68243214848277
13,172.6063887532552,139.53162304385677
14,159.7567227681478,140.74018950383743
15,178.78541453043619,145.80287338089158
16,156.1222092183431,133.13282130576752
17,168.843498433431,130.40331419221647
18,144.4948969523112,134.34891176223755
19,145.50521425882974,128.09014345983883
20,139.98930618286133,170.17425981458726
